cp	laml	vine	diff
30	-2978.18	-3039.91	-61.73
31	-5814.85	-5737.03	77.82
32	-4463.39	-4328.35	135.04
34	-3887.54	-3411.63	475.91
35	-2467.85	-2276.12	191.73
36	-6800.42	-6954.36	-153.94
37	-760.89	-758.79	2.10
40	-1991.84	-1852.25	139.59
42	-3425.38	-3271.96	153.42
43	-4345.66	-4103.49	242.17
44	-1067.34	-1005.37	61.97
45	-8091.60	-7816.78	274.82
46	-1764.75	-1542.07	222.68
47	-3782.48	-3623.91	158.57
48	-596.41	-553.18	43.23
49	-2918.55	-2879.39	39.16
51	-1963.49	-1876.55	86.94
52	-1479.99	-1390.69	89.30
54	-3105.06	-3157.58	-52.52
55	-797.27	-790.82	6.45
56	-2264.78	-2155.71	109.07
57	-1455.53	-1364.80	90.73
58	-903.60	-929.95	-26.35
59	-1014.30	-1006.19	8.11
60	-2274.70	-2232.23	42.47
61	-1520.03	-1527.64	-7.61
62	-1622.53	-1634.65	-12.12
63	-1369.00	-1358.39	10.61
64	-2230.33	-2163.56	66.77
66	-682.55	-717.48	-34.93
67	-1610.24	-1608.15	2.09
68	-2470.79	-2468.20	2.59
70	-1277.81	-1228.69	49.12
71	-2075.93	-2014.11	61.82
72	-1188.77	-1197.76	-8.99
73	-824.86	-840.75	-15.89
74	-2064.96	-2099.64	-34.68
76	-2031.21	-2067.05	-35.84
77	-801.50	-785.80	15.70
78	-977.19	-964.58	12.61
79	-457.03	-427.64	29.39
80	-430.04	-422.81	7.23
82	-1584.82	-1522.02	62.80
83	-851.53	-867.17	-15.64
84	-647.42	-701.15	-53.73
85	-1320.71	-1350.59	-29.88
86	-282.71	-293.67	-10.96
89	-632.33	-632.62	-0.29
90	-560.55	-581.79	-21.24
91	-1832.12	-1863.75	-31.63
92	-623.50	-583.95	39.55
94	-706.13	-760.80	-54.67
95	-871.19	-868.45	2.74
96	-712.45	-723.26	-10.81
97	-897.55	-900.06	-2.51
98	-649.45	-652.78	-3.33
99	-559.27	-520.36	38.91
100	-1040.74	-1023.45	17.29
-----------------------------------------
all	-1859.02	-1817.79	41.23
