cp	laml	vine	speedup
30	8830.33	41.44	213.09
31	5001.38	21.24	235.47
32	7582.21	20.11	377.04
34	1506.95	21.03	71.66
35	3795.43	18.56	204.50
36	11621.09	17.09	679.99
37	6859.13	8.92	768.96
40	3349.74	10.62	315.42
42	2303.25	11.53	199.76
43	861.98	20.35	42.36
44	815.09	14.88	54.78
45	2774.59	20.09	138.11
46	3604.40	5.23	689.18
47	2891.72	9.03	320.23
48	677.56	3.30	205.32
49	1977.01	10.43	189.55
51	890.78	3.56	250.22
52	2079.91	7.26	286.49
54	2392.27	6.16	388.36
55	101.67	4.60	22.10
56	931.35	7.65	121.75
57	688.75	5.04	136.66
58	149.46	2.74	54.55
59	282.21	2.68	105.30
60	729.73	4.69	155.59
61	1093.91	4.74	230.78
62	1758.77	3.36	523.44
63	299.62	4.70	63.75
64	369.40	3.95	93.52
66	527.21	4.81	109.61
67	751.44	1.84	408.39
68	431.64	2.74	157.53
70	270.90	3.23	83.87
71	1371.25	2.16	634.84
72	524.73	3.44	152.54
73	499.78	1.69	295.73
74	435.30	3.76	115.77
76	839.16	3.10	270.70
77	305.82	3.60	84.95
78	195.40	1.92	101.77
79	313.43	2.83	110.75
80	265.18	1.02	259.98
82	415.32	1.87	222.10
83	256.61	2.05	125.18
84	458.72	1.25	366.98
85	699.17	2.10	332.94
86	119.98	1.23	97.54
89	373.86	1.31	285.39
90	307.57	1.82	168.99
91	517.95	1.86	278.47
92	272.13	1.42	191.64
94	183.15	1.09	168.03
95	133.21	1.03	129.33
96	162.97	0.98	166.29
97	245.06	1.25	196.04
98	365.89	1.29	283.64
99	143.75	1.11	129.50
100	290.50	1.70	170.88
-----------------------------------------
all	1515.46	6.46	234.72
